trial,preprocess,pca_dim,model,params_json,mean_cv_accuracy,std_cv_accuracy,cv_folds_used
0,pca,256.0,knn,"{""n_neighbors"": 5, ""weights"": ""uniform""}",0.907,0.014525839046333977,5
0,pca,256.0,knn,"{""n_neighbors"": 5, ""weights"": ""distance""}",0.9129999999999999,0.012389511693363888,5
0,pca,256.0,knn,"{""n_neighbors"": 7, ""weights"": ""uniform""}",0.9030000000000001,0.01683745824048275,5
0,pca,256.0,knn,"{""n_neighbors"": 7, ""weights"": ""distance""}",0.909,0.013285330255586416,5
0,pca,256.0,knn,"{""n_neighbors"": 11, ""weights"": ""uniform""}",0.8915,0.01901315334183152,5
0,pca,256.0,knn,"{""n_neighbors"": 11, ""weights"": ""distance""}",0.9,0.01589024858207073,5
0,pca,512.0,logistic,"{""C"": 0.01}",0.874,0.0158587515271537,5
0,pca,512.0,logistic,"{""C"": 0.1}",0.8859999999999999,0.011135528725660017,5
0,pca,512.0,logistic,"{""C"": 1.0}",0.8825,0.01440486029088792,5
0,pca,512.0,logistic,"{""C"": 10.0}",0.8790000000000001,0.01019803902718558,5
0,pca,512.0,logistic,"{""C"": 100.0}",0.876,0.012509996003196801,5
0,pca,512.0,linear_svm,"{""C"": 0.01}",0.8800000000000001,0.014230249470757697,5
0,pca,512.0,linear_svm,"{""C"": 0.1}",0.8675,0.006892024376045093,5
0,pca,512.0,linear_svm,"{""C"": 1.0}",0.842,0.014089002803605389,5
0,pca,512.0,linear_svm,"{""C"": 10.0}",0.8264999999999999,0.01124722187920202,5
0,pca,512.0,linear_svm,"{""C"": 100.0}",0.8195,0.010770329614268992,5
0,pca,512.0,knn,"{""n_neighbors"": 1, ""weights"": ""uniform""}",0.9095000000000001,0.017776388834631177,5
0,pca,512.0,knn,"{""n_neighbors"": 1, ""weights"": ""distance""}",0.9095000000000001,0.017776388834631177,5
0,pca,512.0,knn,"{""n_neighbors"": 3, ""weights"": ""uniform""}",0.909,0.010559356040971428,5
0,pca,512.0,knn,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.9165000000000001,0.013190905958272929,5
0,pca,512.0,knn,"{""n_neighbors"": 5, ""weights"": ""uniform""}",0.906,0.017219175357722587,5
0,pca,512.0,knn,"{""n_neighbors"": 5, ""weights"": ""distance""}",0.9109999999999999,0.013838352503098042,5
0,pca,512.0,knn,"{""n_neighbors"": 7, ""weights"": ""uniform""}",0.9004999999999999,0.016688319268278646,5
0,pca,512.0,knn,"{""n_neighbors"": 7, ""weights"": ""distance""}",0.9065,0.011895377253370346,5
0,pca,512.0,knn,"{""n_neighbors"": 11, ""weights"": ""uniform""}",0.8939999999999999,0.019209372712298525,5
0,pca,512.0,knn,"{""n_neighbors"": 11, ""weights"": ""distance""}",0.9004999999999999,0.01576388277043447,5
0,standard_pca,16.0,logistic,"{""C"": 0.01}",0.82,0.007416198487095654,5
0,standard_pca,16.0,logistic,"{""C"": 0.1}",0.8320000000000001,0.008860022573334691,5
0,standard_pca,16.0,logistic,"{""C"": 1.0}",0.8335000000000001,0.010793516572461474,5
0,standard_pca,16.0,logistic,"{""C"": 10.0}",0.834,0.01067707825203133,5
0,standard_pca,16.0,logistic,"{""C"": 100.0}",0.8335000000000001,0.010793516572461474,5
0,standard_pca,16.0,linear_svm,"{""C"": 0.01}",0.7915,0.008455767262643873,5
0,standard_pca,16.0,linear_svm,"{""C"": 0.1}",0.8125,0.013133925536563687,5
0,standard_pca,16.0,linear_svm,"{""C"": 1.0}",0.8130000000000001,0.011,5
0,standard_pca,16.0,linear_svm,"{""C"": 10.0}",0.8135,0.010908712114635687,5
0,standard_pca,16.0,linear_svm,"{""C"": 100.0}",0.8135,0.010908712114635687,5
0,standard_pca,16.0,knn,"{""n_neighbors"": 1, ""weights"": ""uniform""}",0.8625,0.018234582528810453,5
0,standard_pca,16.0,knn,"{""n_neighbors"": 1, ""weights"": ""distance""}",0.8625,0.018234582528810453,5
0,standard_pca,16.0,knn,"{""n_neighbors"": 3, ""weights"": ""uniform""}",0.8705,0.006964194138592038,5
0,standard_pca,16.0,knn,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.8775000000000001,0.010723805294763598,5
0,standard_pca,16.0,knn,"{""n_neighbors"": 5, ""weights"": ""uniform""}",0.8745,0.005338539126015644,5
0,standard_pca,16.0,knn,"{""n_neighbors"": 5, ""weights"": ""distance""}",0.8855000000000001,0.011000000000000018,5
0,standard_pca,16.0,knn,"{""n_neighbors"": 7, ""weights"": ""uniform""}",0.8709999999999999,0.00681909084849291,5
0,standard_pca,16.0,knn,"{""n_neighbors"": 7, ""weights"": ""distance""}",0.882,0.008124038404635957,5
0,standard_pca,16.0,knn,"{""n_neighbors"": 11, ""weights"": ""uniform""}",0.8615,0.009565563234854484,5
0,standard_pca,16.0,knn,"{""n_neighbors"": 11, ""weights"": ""distance""}",0.8725000000000002,0.009617692030835647,5
0,standard_pca,32.0,logistic,"{""C"": 0.01}",0.8615,0.007842193570679059,5
0,standard_pca,32.0,logistic,"{""C"": 0.1}",0.8685,0.012409673645990835,5
0,standard_pca,32.0,logistic,"{""C"": 1.0}",0.8695,0.014,5
