config_key,preprocess,model,pca_dim,noise_sigma,mean_test_accuracy,std_test_accuracy,clean_mean_accuracy,robustness_drop
standard|knn|none,standard,knn,,0.2,0.8382499999999999,0.015909902576697336,0.86675,0.02850000000000008
standard|knn|none,standard,knn,,0.3,0.505,0.045961940777125614,0.86675,0.36175
standard|knn|none,standard,knn,,0.4,0.19574999999999998,0.01378858223313766,0.86675,0.671
standard|linear_svm|none,standard,linear_svm,,0.0,0.8505,0.006363961030678973,0.8505,0.0
standard|linear_svm|none,standard,linear_svm,,0.1,0.5335,0.03535533905932741,0.8505,0.31700000000000006
standard|linear_svm|none,standard,linear_svm,,0.2,0.276,0.036769552621700445,0.8505,0.5745
standard|linear_svm|none,standard,linear_svm,,0.3,0.2,0.03889087296526012,0.8505,0.6505000000000001
standard|linear_svm|none,standard,linear_svm,,0.4,0.162,0.005656854249492385,0.8505,0.6885
standard|logistic|none,standard,logistic,,0.0,0.88325,0.006717514421272247,0.88325,0.0
standard|logistic|none,standard,logistic,,0.1,0.8360000000000001,0.002121320343559605,0.88325,0.0472499999999999
standard|logistic|none,standard,logistic,,0.2,0.65375,0.012374368670764592,0.88325,0.22949999999999993
standard|logistic|none,standard,logistic,,0.3,0.4595,0.04101219330881977,0.88325,0.42374999999999996
standard|logistic|none,standard,logistic,,0.4,0.33225,0.03570889244992064,0.88325,0.5509999999999999
