config_key,preprocess,model,pca_dim,noise_sigma,mean_test_accuracy,std_test_accuracy
standard_pca|linear_svm|256,standard_pca,linear_svm,256.0,0.0,0.8605,0.004949747468305877
standard_pca|linear_svm|256,standard_pca,linear_svm,256.0,0.1,0.2445,0.11525840533340724
standard_pca|linear_svm|256,standard_pca,linear_svm,256.0,0.2,0.1495,0.04525483399593904
standard_pca|linear_svm|256,standard_pca,linear_svm,256.0,0.3,0.126,0.031112698372208095
standard_pca|linear_svm|256,standard_pca,linear_svm,256.0,0.4,0.12325,0.018738329701443512
standard_pca|linear_svm|32,standard_pca,linear_svm,32.0,0.0,0.857,0.018384776310850254
standard_pca|linear_svm|32,standard_pca,linear_svm,32.0,0.1,0.2915,0.09050966799187805
standard_pca|linear_svm|32,standard_pca,linear_svm,32.0,0.2,0.194,0.052325901807804526
standard_pca|linear_svm|32,standard_pca,linear_svm,32.0,0.3,0.15775,0.0526794551983978
standard_pca|linear_svm|32,standard_pca,linear_svm,32.0,0.4,0.14625,0.02934493141924172
standard_pca|linear_svm|512,standard_pca,linear_svm,512.0,0.0,0.8525,0.008485281374238578
standard_pca|linear_svm|512,standard_pca,linear_svm,512.0,0.1,0.241,0.09758073580374356
standard_pca|linear_svm|512,standard_pca,linear_svm,512.0,0.2,0.158,0.03394112549695427
standard_pca|linear_svm|512,standard_pca,linear_svm,512.0,0.3,0.137,0.03535533905932738
standard_pca|linear_svm|512,standard_pca,linear_svm,512.0,0.4,0.122,0.015556349186104044
standard_pca|linear_svm|64,standard_pca,linear_svm,64.0,0.0,0.87425,0.008838834764831813
standard_pca|linear_svm|64,standard_pca,linear_svm,64.0,0.1,0.197,0.03889087296526011
standard_pca|linear_svm|64,standard_pca,linear_svm,64.0,0.2,0.14,0.01555634918610405
standard_pca|linear_svm|64,standard_pca,linear_svm,64.0,0.3,0.12974999999999998,0.015909902576697305
standard_pca|linear_svm|64,standard_pca,linear_svm,64.0,0.4,0.1195,0.0
standard_pca|logistic|128,standard_pca,logistic,128.0,0.0,0.87525,0.00601040764008562
standard_pca|logistic|128,standard_pca,logistic,128.0,0.1,0.61225,0.1587454723763799
standard_pca|logistic|128,standard_pca,logistic,128.0,0.2,0.39675,0.11349063838044086
standard_pca|logistic|128,standard_pca,logistic,128.0,0.3,0.275,0.08980256121069156
standard_pca|logistic|128,standard_pca,logistic,128.0,0.4,0.2075,0.04949747468305833
standard_pca|logistic|16,standard_pca,logistic,16.0,0.0,0.83775,0.018031222920257016
standard_pca|logistic|16,standard_pca,logistic,16.0,0.1,0.42275,0.06257895013500947
standard_pca|logistic|16,standard_pca,logistic,16.0,0.2,0.2575,0.010606601717798222
standard_pca|logistic|16,standard_pca,logistic,16.0,0.3,0.1855,0.018384776310850254
standard_pca|logistic|16,standard_pca,logistic,16.0,0.4,0.14725,0.005303300858899111
standard_pca|logistic|256,standard_pca,logistic,256.0,0.0,0.8805000000000001,0.009192388155425165
standard_pca|logistic|256,standard_pca,logistic,256.0,0.1,0.6275,0.15768481220460004
standard_pca|logistic|256,standard_pca,logistic,256.0,0.2,0.39375,0.11419774516162741
standard_pca|logistic|256,standard_pca,logistic,256.0,0.3,0.271,0.08626702730475883
standard_pca|logistic|256,standard_pca,logistic,256.0,0.4,0.20425,0.05409366876077087
standard_pca|logistic|32,standard_pca,logistic,32.0,0.0,0.85625,0.020152543263816623
standard_pca|logistic|32,standard_pca,logistic,32.0,0.1,0.42474999999999996,0.2421840725563925
standard_pca|logistic|32,standard_pca,logistic,32.0,0.2,0.2955,0.15132085117392116
standard_pca|logistic|32,standard_pca,logistic,32.0,0.3,0.21,0.11384419177103414
standard_pca|logistic|32,standard_pca,logistic,32.0,0.4,0.18025000000000002,0.07177133829043458
standard_pca|logistic|512,standard_pca,logistic,512.0,0.0,0.879,0.009899494936611674
standard_pca|logistic|512,standard_pca,logistic,512.0,0.1,0.63425,0.1651094334070589
standard_pca|logistic|512,standard_pca,logistic,512.0,0.2,0.40125,0.11207642481806776
standard_pca|logistic|512,standard_pca,logistic,512.0,0.3,0.27575,0.08167083322704624
standard_pca|logistic|512,standard_pca,logistic,512.0,0.4,0.20124999999999998,0.051265241636024673
standard_pca|logistic|64,standard_pca,logistic,64.0,0.0,0.871,0.007071067811865481
standard_pca|logistic|64,standard_pca,logistic,64.0,0.1,0.50875,0.16935207409417813
standard_pca|logistic|64,standard_pca,logistic,64.0,0.2,0.314,0.11242997820866107
